game_id,difficulty,opponent,ai_starts,result,moves,timestamp
205,2,random,0,1,8,1758140490
206,2,random,1,0,9,1758140490
207,2,random,0,1,6,1758140490
208,2,random,1,1,5,1758140490
209,2,random,0,0,9,1758140490
210,2,random,1,1,5,1758140490
211,2,random,0,0,9,1758140490
212,2,random,1,1,5,1758140490
213,2,random,0,1,6,1758140490
214,2,random,1,1,7,1758140490
215,2,random,0,1,6,1758140490
216,2,random,1,1,7,1758140490
217,2,random,0,-1,7,1758140490
218,2,random,1,-1,8,1758140490
219,2,random,0,-1,7,1758140490
220,2,random,1,1,5,1758140490
221,2,random,0,-1,7,1758140490
222,2,random,1,1,7,1758140490
223,2,random,0,1,6,1758140490
224,2,random,1,1,9,1758140490
225,2,random,0,1,6,1758140490
226,2,random,1,1,5,1758140490
227,2,random,0,1,8,1758140490
228,2,random,1,1,5,1758140490
229,2,random,0,1,8,1758140490
230,2,random,1,1,5,1758140490
231,2,random,0,-1,7,1758140490
232,2,random,1,1,5,1758140490
233,2,random,0,1,6,1758140490
234,2,random,1,1,5,1758140490
235,2,random,0,1,6,1758140490
236,2,random,1,1,5,1758140490
237,2,random,0,0,9,1758140490
238,2,random,1,1,9,1758140490
239,2,random,0,1,6,1758140490
240,2,random,1,1,7,1758140490
241,2,random,0,1,6,1758140490
242,2,random,1,1,5,1758140490
243,2,random,0,1,6,1758140490
244,2,random,1,-1,8,1758140490
245,2,random,0,0,9,1758140490
246,2,random,1,1,7,1758140490
247,2,random,0,1,6,1758140490
248,2,random,1,1,5,1758140490
249,2,random,0,-1,7,1758140490
250,2,random,1,1,5,1758140490
251,2,random,0,-1,7,1758140490
252,2,random,1,1,7,1758140490
253,2,random,0,1,6,1758140490
254,2,random,1,1,5,1758140490
255,2,random,0,1,6,1758140490
256,2,random,1,-1,8,1758140490
257,2,random,0,1,6,1758140490
258,2,random,1,1,9,1758140490
259,2,random,0,1,6,1758140490
260,2,random,1,1,9,1758140490
261,2,random,0,1,6,1758140490
262,2,random,1,1,7,1758140490
263,2,random,0,1,6,1758140490
264,2,random,1,1,7,1758140490
265,2,random,0,1,6,1758140490
266,2,random,1,1,5,1758140490
267,2,random,0,1,8,1758140490
268,2,random,1,1,5,1758140490
269,2,random,0,1,6,1758140490
270,2,random,1,1,5,1758140490
271,2,random,0,1,6,1758140490
272,2,random,1,-1,8,1758140490
273,2,random,0,-1,7,1758140490
274,2,random,1,1,9,1758140490
275,2,random,0,1,6,1758140490
276,2,random,1,1,5,1758140490
277,2,random,0,1,6,1758140490
278,2,random,1,1,5,1758140490
279,2,random,0,1,8,1758140490
280,2,random,1,1,7,1758140490
281,2,random,0,1,6,1758140490
282,2,random,1,1,7,1758140490
283,2,random,0,1,6,1758140490
284,2,random,1,1,5,1758140490
285,2,random,0,-1,7,1758140490
286,2,random,1,0,9,1758140490
287,2,random,0,0,9,1758140490
288,2,random,1,1,7,1758140490
289,2,random,0,1,6,1758140490
290,2,random,1,1,5,1758140490
291,2,random,0,1,6,1758140490
292,2,random,1,1,5,1758140490
293,2,random,0,1,6,1758140490
294,2,random,1,1,7,1758140490
295,2,random,0,0,9,1758140490
296,2,random,1,1,7,1758140490
297,2,random,0,1,8,1758140490
298,2,random,1,1,5,1758140490
299,2,random,0,-1,5,1758140490
300,2,random,1,1,9,1758140490
301,2,random,0,1,8,1758140490
302,2,random,1,1,7,1758140490
303,2,random,0,1,8,1758140490
304,2,random,1,1,7,1758140490
305,2,random,0,1,6,1758140490
306,2,random,1,1,5,1758140490
307,2,random,0,1,8,1758140490
308,2,random,1,1,5,1758140490
309,2,random,0,0,9,1758140490
310,2,random,1,1,7,1758140490
311,2,random,0,1,8,1758140490
312,2,random,1,1,5,1758140490
313,2,random,0,1,6,1758140490
314,2,random,1,1,5,1758140490
315,2,random,0,1,6,1758140490
316,2,random,1,-1,8,1758140490
317,2,random,0,1,8,1758140490
318,2,random,1,1,5,1758140490
319,2,random,0,-1,7,1758140490
320,2,random,1,1,5,1758140490
321,2,random,0,0,9,1758140490
322,2,random,1,1,5,1758140490
323,2,random,0,1,8,1758140490
324,2,random,1,1,5,1758140490
325,2,random,0,1,6,1758140490
326,2,random,1,0,9,1758140490
327,2,random,0,-1,7,1758140490
328,2,random,1,1,5,1758140490
329,2,random,0,1,6,1758140490
330,2,random,1,1,7,1758140490
331,2,random,0,1,6,1758140490
332,2,random,1,1,5,1758140490
333,2,random,0,1,8,1758140490
334,2,random,1,0,9,1758140490
335,2,random,0,0,9,1758140490
336,2,random,1,0,9,1758140490
337,2,random,0,1,6,1758140490
338,2,random,1,1,5,1758140490
339,2,random,0,1,8,1758140490
340,2,random,1,1,7,1758140490
341,2,random,0,1,6,1758140490
342,2,random,1,1,5,1758140490
343,2,random,0,-1,5,1758140490
344,2,random,1,1,7,1758140490
345,2,random,0,1,8,1758140490
346,2,random,1,1,7,1758140490
347,2,random,0,-1,7,1758140490
348,2,random,1,1,5,1758140490
349,2,random,0,0,9,1758140490
350,2,random,1,0,9,1758140490
351,2,random,0,1,6,1758140490
352,2,random,1,1,7,1758140490
353,2,random,0,1,6,1758140490
354,2,random,1,1,7,1758140490
355,2,random,0,-1,7,1758140490
356,2,random,1,1,9,1758140490
357,2,random,0,1,8,1758140490
358,2,random,1,1,7,1758140490
359,2,random,0,1,6,1758140490
360,2,random,1,1,5,1758140490
361,2,random,0,1,8,1758140490
362,2,random,1,1,5,1758140490
363,2,random,0,1,6,1758140490
364,2,random,1,1,5,1758140490
365,2,random,0,1,6,1758140490
366,2,random,1,1,9,1758140490
367,2,random,0,1,8,1758140490
368,2,random,1,1,5,1758140490
369,2,random,0,0,9,1758140490
370,2,random,1,1,5,1758140490
371,2,random,0,-1,9,1758140490
372,2,random,1,1,7,1758140490
373,2,random,0,1,8,1758140490
374,2,random,1,1,7,1758140490
375,2,random,0,-1,7,1758140490
376,2,random,1,1,5,1758140490
377,2,random,0,1,6,1758140490
378,2,random,1,1,5,1758140490
379,2,random,0,1,6,1758140490
380,2,random,1,1,9,1758140490
381,2,random,0,0,9,1758140490
382,2,random,1,1,5,1758140490
383,2,random,0,1,8,1758140490
384,2,random,1,1,7,1758140490
385,2,random,0,1,6,1758140490
386,2,random,1,1,7,1758140490
387,2,random,0,1,8,1758140490
388,2,random,1,1,7,1758140490
389,2,random,0,1,8,1758140490
390,2,random,1,1,7,1758140490
391,2,random,0,1,6,1758140490
392,2,random,1,1,5,1758140490
393,2,random,0,1,6,1758140490
394,2,random,1,1,5,1758140490
395,2,random,0,-1,7,1758140490
396,2,random,1,-1,8,1758140490
397,2,random,0,0,9,1758140490
398,2,random,1,1,5,1758140490
399,2,random,0,1,6,1758140490
400,3,random,1,1,5,1758140490
401,3,random,0,1,8,1758140490
402,3,random,1,1,5,1758140490
403,3,random,0,1,6,1758140490
404,3,random,1,1,5,1758140490
405,3,random,0,1,6,1758140490
406,3,random,1,1,7,1758140490
407,3,random,0,1,6,1758140490
408,3,random,1,1,5,1758140490
409,3,random,0,1,6,1758140490
410,3,random,1,1,5,1758140490
411,3,random,0,1,6,1758140491
412,3,random,1,1,5,1758140491
413,3,random,0,1,8,1758140491
414,3,random,1,1,5,1758140491
415,3,random,0,1,6,1758140491
416,3,random,1,1,7,1758140491
417,3,random,0,1,6,1758140491
418,3,random,1,1,5,1758140491
419,3,random,0,1,6,1758140491
420,3,random,1,1,5,1758140491
421,3,random,0,1,6,1758140491
422,3,random,1,1,7,1758140491
423,3,random,0,0,9,1758140491
424,3,random,1,1,7,1758140491
425,3,random,0,-1,7,1758140491
426,3,random,1,1,5,1758140491
427,3,random,0,1,6,1758140491
428,3,random,1,1,7,1758140491
429,3,random,0,1,6,1758140491
430,3,random,1,1,5,1758140491
431,3,random,0,0,9,1758140491
432,3,random,1,1,5,1758140491
433,3,random,0,1,6,1758140491
434,3,random,1,1,7,1758140491
435,3,random,0,-1,9,1758140491
436,3,random,1,1,7,1758140491
437,3,random,0,1,6,1758140491
438,3,random,1,0,9,1758140491
439,3,random,0,0,9,1758140491
440,3,random,1,1,5,1758140491
441,3,random,0,1,6,1758140491
442,3,random,1,1,5,1758140491
443,3,random,0,1,6,1758140491
444,3,random,1,1,7,1758140491
445,3,random,0,1,8,1758140491
446,3,random,1,1,5,1758140491
447,3,random,0,1,8,1758140491
448,3,random,1,1,5,1758140491
449,3,random,0,1,6,1758140491
450,3,random,1,1,5,1758140491
451,3,random,0,0,9,1758140491
452,3,random,1,1,5,1758140491
453,3,random,0,1,6,1758140491
454,3,random,1,1,5,1758140491
455,3,random,0,0,9,1758140491
456,3,random,1,1,5,1758140491
457,3,random,0,1,8,1758140491
458,3,random,1,1,7,1758140491
459,3,random,0,1,6,1758140491
460,3,random,1,1,5,1758140491
461,3,random,0,1,6,1758140491
462,3,random,1,1,5,1758140491
463,3,random,0,1,8,1758140491
464,3,random,1,1,7,1758140491
465,3,random,0,1,8,1758140491
466,3,random,1,1,5,1758140491
467,3,random,0,1,8,1758140491
468,3,random,1,1,7,1758140491
469,3,random,0,1,6,1758140491
470,3,random,1,1,7,1758140491
471,3,random,0,1,6,1758140491
472,3,random,1,1,7,1758140491
473,3,random,0,1,6,1758140491
474,3,random,1,1,7,1758140491
475,3,random,0,1,6,1758140491
476,3,random,1,1,7,1758140491
477,3,random,0,1,6,1758140491
478,3,random,1,1,7,1758140491
479,3,random,0,1,6,1758140492
480,3,random,1,1,5,1758140492
481,3,random,0,1,6,1758140492
482,3,random,1,1,5,1758140492
483,3,random,0,1,6,1758140492
484,3,random,1,1,5,1758140492
485,3,random,0,1,6,1758140492
486,3,random,1,1,7,1758140492
487,3,random,0,1,6,1758140492
488,3,random,1,1,5,1758140492
489,3,random,0,1,6,1758140492
490,3,random,1,1,7,1758140492
491,3,random,0,0,9,1758140492
492,3,random,1,1,5,1758140492
493,3,random,0,1,6,1758140492
494,3,random,1,1,5,1758140492
495,3,random,0,0,9,1758140492
496,3,random,1,1,7,1758140492
497,3,random,0,0,9,1758140492
498,3,random,1,1,5,1758140492
499,3,random,0,1,8,1758140492
500,3,random,1,1,5,1758140492
501,3,random,0,1,6,1758140492
502,3,random,1,1,7,1758140492
503,3,random,0,0,9,1758140492
504,3,random,1,1,5,1758140492
505,3,random,0,1,6,1758140492
506,3,random,1,1,7,1758140492
507,3,random,0,1,6,1758140492
508,3,random,1,1,5,1758140492
509,3,random,0,0,9,1758140492
510,3,random,1,1,5,1758140492
511,3,random,0,1,6,1758140492
512,3,random,1,1,5,1758140492
513,3,random,0,1,6,1758140492
514,3,random,1,1,5,1758140492
515,3,random,0,1,6,1758140492
516,3,random,1,1,5,1758140492
517,3,random,0,-1,7,1758140492
518,3,random,1,1,7,1758140492
519,3,random,0,1,6,1758140492
520,3,random,1,1,5,1758140492
521,3,random,0,1,6,1758140492
522,3,random,1,1,5,1758140492
523,3,random,0,1,6,1758140492
524,3,random,1,1,7,1758140492
525,3,random,0,1,6,1758140492
526,3,random,1,1,5,1758140492
527,3,random,0,0,9,1758140492
528,3,random,1,1,5,1758140492
529,3,random,0,1,8,1758140492
530,3,random,1,1,5,1758140492
531,3,random,0,1,6,1758140492
532,3,random,1,1,5,1758140492
533,3,random,0,1,6,1758140492
534,3,random,1,1,5,1758140492
535,3,random,0,1,6,1758140492
536,3,random,1,1,5,1758140492
537,3,random,0,-1,5,1758140492
538,3,random,1,1,5,1758140492
539,3,random,0,1,6,1758140492
540,3,random,1,1,7,1758140492
541,3,random,0,1,6,1758140492
542,3,random,1,1,7,1758140492
543,3,random,0,1,6,1758140492
544,3,random,1,1,5,1758140492
545,3,random,0,1,6,1758140492
546,3,random,1,1,5,1758140492
547,3,random,0,1,6,1758140492
548,3,random,1,1,5,1758140492
549,3,random,0,1,8,1758140493
550,3,random,1,1,5,1758140493
551,3,random,0,1,6,1758140493
552,3,random,1,1,9,1758140493
553,3,random,0,1,6,1758140493
554,3,random,1,1,7,1758140493
555,3,random,0,1,8,1758140493
556,3,random,1,1,7,1758140493
557,3,random,0,1,6,1758140493
558,3,random,1,1,5,1758140493
559,3,random,0,1,8,1758140493
560,3,random,1,1,7,1758140493
561,3,random,0,1,6,1758140493
562,3,random,1,1,5,1758140493
563,3,random,0,1,6,1758140493
564,3,random,1,1,5,1758140493
565,3,random,0,1,6,1758140493
566,3,random,1,1,5,1758140493
567,3,random,0,-1,7,1758140493
568,3,random,1,1,7,1758140493
569,3,random,0,1,6,1758140493
570,3,random,1,1,7,1758140493
571,3,random,0,1,6,1758140493
572,3,random,1,1,5,1758140493
573,3,random,0,-1,9,1758140493
574,3,random,1,1,5,1758140493
575,3,random,0,1,6,1758140493
576,3,random,1,1,5,1758140493
577,3,random,0,1,6,1758140493
578,3,random,1,1,7,1758140493
579,3,random,0,1,8,1758140493
580,3,random,1,1,5,1758140493
581,3,random,0,0,9,1758140493
582,3,random,1,1,7,1758140493
583,3,random,0,-1,7,1758140493
584,3,random,1,1,5,1758140493
585,3,random,0,0,9,1758140493
586,3,random,1,1,5,1758140493
587,3,random,0,1,6,1758140493
588,3,random,1,1,7,1758140493
589,3,random,0,1,6,1758140493
590,3,random,1,1,5,1758140493
591,3,random,0,1,8,1758140493
592,3,random,1,1,5,1758140493
593,3,random,0,1,8,1758140493
594,3,random,1,1,5,1758140493
595,3,random,0,1,8,1758140493
596,3,random,1,1,5,1758140493
597,3,random,0,1,6,1758140493
598,3,random,1,1,5,1758140493
599,3,random,0,0,9,1758140493
600,4,random,1,1,7,1758140493
601,4,random,0,1,6,1758140493
602,4,random,1,1,5,1758140493
603,4,random,0,1,6,1758140493
604,4,random,1,1,7,1758140493
605,4,random,0,1,6,1758140493
606,4,random,1,1,7,1758140493
607,4,random,0,1,6,1758140493
608,4,random,1,1,5,1758140493
609,4,random,0,1,6,1758140493
610,4,random,1,1,5,1758140493
611,4,random,0,1,8,1758140494
612,4,random,1,1,5,1758140494
613,4,random,0,1,6,1758140494
614,4,random,1,1,5,1758140494
615,4,random,0,1,8,1758140494
616,4,random,1,1,5,1758140494
617,4,random,0,1,8,1758140494
618,4,random,1,1,5,1758140494
619,4,random,0,1,6,1758140494
620,4,random,1,1,5,1758140494
621,4,random,0,1,6,1758140494
622,4,random,1,1,5,1758140494
623,4,random,0,1,8,1758140494
624,4,random,1,1,5,1758140494
625,4,random,0,1,6,1758140494
626,4,random,1,1,5,1758140494
627,4,random,0,1,6,1758140494
628,4,random,1,1,5,1758140494
629,4,random,0,0,9,1758140494
630,4,random,1,1,7,1758140494
631,4,random,0,1,6,1758140494
632,4,random,1,1,5,1758140494
633,4,random,0,0,9,1758140494
634,4,random,1,1,5,1758140494
635,4,random,0,1,6,1758140494
636,4,random,1,1,7,1758140494
637,4,random,0,1,8,1758140494
638,4,random,1,1,7,1758140494
639,4,random,0,1,6,1758140494
640,4,random,1,1,7,1758140494
641,4,random,0,1,8,1758140494
642,4,random,1,1,5,1758140494
643,4,random,0,0,9,1758140494
644,4,random,1,1,5,1758140494
645,4,random,0,1,6,1758140494
646,4,random,1,1,5,1758140494
647,4,random,0,1,8,1758140494
648,4,random,1,1,7,1758140494
649,4,random,0,1,6,1758140494
650,4,random,1,1,5,1758140494
651,4,random,0,0,9,1758140494
652,4,random,1,1,7,1758140494
653,4,random,0,0,9,1758140494
654,4,random,1,1,5,1758140494
655,4,random,0,1,6,1758140494
656,4,random,1,1,7,1758140494
657,4,random,0,1,8,1758140494
658,4,random,1,1,7,1758140494
659,4,random,0,0,9,1758140494
660,4,random,1,1,5,1758140494
661,4,random,0,0,9,1758140494
662,4,random,1,1,5,1758140494
663,4,random,0,0,9,1758140494
664,4,random,1,1,5,1758140494
665,4,random,0,1,6,1758140494
666,4,random,1,1,5,1758140494
667,4,random,0,1,8,1758140494
668,4,random,1,1,5,1758140494
669,4,random,0,1,6,1758140495
670,4,random,1,1,5,1758140495
671,4,random,0,1,6,1758140495
672,4,random,1,1,5,1758140495
673,4,random,0,1,6,1758140495
674,4,random,1,1,5,1758140495
675,4,random,0,0,9,1758140495
676,4,random,1,1,5,1758140495
677,4,random,0,1,6,1758140495
678,4,random,1,1,7,1758140495
679,4,random,0,1,6,1758140495
680,4,random,1,1,5,1758140495
681,4,random,0,1,6,1758140495
682,4,random,1,1,5,1758140495
683,4,random,0,1,6,1758140495
684,4,random,1,1,5,1758140495
685,4,random,0,1,6,1758140495
686,4,random,1,1,5,1758140495
687,4,random,0,1,8,1758140495
688,4,random,1,1,5,1758140495
689,4,random,0,1,8,1758140495
690,4,random,1,1,7,1758140495
691,4,random,0,1,6,1758140495
692,4,random,1,1,5,1758140495
693,4,random,0,1,8,1758140495
694,4,random,1,1,5,1758140495
695,4,random,0,1,6,1758140495
696,4,random,1,1,5,1758140495
697,4,random,0,1,8,1758140495
698,4,random,1,1,5,1758140495
699,4,random,0,1,6,1758140495
700,4,random,1,1,7,1758140495
701,4,random,0,1,6,1758140495
702,4,random,1,1,5,1758140495
703,4,random,0,0,9,1758140495
704,4,random,1,1,5,1758140495
705,4,random,0,1,6,1758140495
706,4,random,1,1,7,1758140495
707,4,random,0,1,6,1758140495
708,4,random,1,1,7,1758140495
709,4,random,0,1,6,1758140495
710,4,random,1,1,7,1758140495
711,4,random,0,0,9,1758140495
712,4,random,1,1,7,1758140495
713,4,random,0,0,9,1758140495
714,4,random,1,1,5,1758140495
715,4,random,0,1,6,1758140495
716,4,random,1,1,5,1758140495
717,4,random,0,0,9,1758140495
718,4,random,1,0,9,1758140495
719,4,random,0,1,8,1758140495
720,4,random,1,1,5,1758140495
721,4,random,0,1,6,1758140495
722,4,random,1,1,5,1758140495
723,4,random,0,1,6,1758140495
724,4,random,1,1,7,1758140495
725,4,random,0,0,9,1758140495
726,4,random,1,1,7,1758140495
727,4,random,0,0,9,1758140495
728,4,random,1,1,7,1758140495
729,4,random,0,1,6,1758140495
730,4,random,1,1,5,1758140495
731,4,random,0,1,8,1758140495
732,4,random,1,1,7,1758140495
733,4,random,0,1,6,1758140495
734,4,random,1,1,5,1758140495
735,4,random,0,1,6,1758140496
736,4,random,1,1,5,1758140496
737,4,random,0,1,6,1758140496
738,4,random,1,1,5,1758140496
739,4,random,0,1,6,1758140496
740,4,random,1,1,5,1758140496
741,4,random,0,0,9,1758140496
742,4,random,1,1,5,1758140496
743,4,random,0,1,6,1758140496
744,4,random,1,1,5,1758140496
745,4,random,0,1,8,1758140496
746,4,random,1,1,5,1758140496
747,4,random,0,0,9,1758140496
748,4,random,1,1,5,1758140496
749,4,random,0,1,6,1758140496
750,4,random,1,1,5,1758140496
751,4,random,0,1,6,1758140496
752,4,random,1,1,5,1758140496
753,4,random,0,1,6,1758140496
754,4,random,1,1,5,1758140496
755,4,random,0,0,9,1758140496
756,4,random,1,1,7,1758140496
757,4,random,0,1,8,1758140496
758,4,random,1,1,5,1758140496
759,4,random,0,0,9,1758140496
760,4,random,1,1,5,1758140496
761,4,random,0,1,6,1758140496
762,4,random,1,1,5,1758140496
763,4,random,0,1,8,1758140496
764,4,random,1,1,5,1758140496
765,4,random,0,1,6,1758140496
766,4,random,1,1,7,1758140496
767,4,random,0,1,8,1758140496
768,4,random,1,1,5,1758140496
769,4,random,0,1,6,1758140496
770,4,random,1,1,5,1758140496
771,4,random,0,1,6,1758140496
772,4,random,1,1,5,1758140496
773,4,random,0,1,6,1758140496
774,4,random,1,1,5,1758140496
775,4,random,0,1,8,1758140496
776,4,random,1,1,5,1758140496
777,4,random,0,1,8,1758140496
778,4,random,1,1,5,1758140496
779,4,random,0,1,6,1758140496
780,4,random,1,1,5,1758140496
781,4,random,0,0,9,1758140496
782,4,random,1,1,5,1758140496
783,4,random,0,1,8,1758140496
784,4,random,1,1,5,1758140496
785,4,random,0,1,6,1758140496
786,4,random,1,1,5,1758140496
787,4,random,0,1,6,1758140496
788,4,random,1,1,5,1758140496
789,4,random,0,1,6,1758140496
790,4,random,1,1,5,1758140496
791,4,random,0,1,8,1758140496
792,4,random,1,1,5,1758140496
793,4,random,0,1,6,1758140496
794,4,random,1,1,5,1758140496
795,4,random,0,1,8,1758140496
796,4,random,1,1,5,1758140496
797,4,random,0,0,9,1758140496
798,4,random,1,1,5,1758140496
799,4,random,0,1,6,1758140497
